TF_id	target_id	TF_name	target_name	in_fimo	cor_agreement
Mp1g10310.1	Mp1g04480.1	CDC5	HD1	FALSE	pos
Mp1g16790.1	Mp1g01960.1	TRIHELIX1	Mp1g01960.1	FALSE	pos
Mp1g20490.1	Mp1g03100.1	GRAS1	TRIHELIX26	FALSE	opposite
Mp1g24520.1	Mp1g23310.1	4R-MYB1	TRIHELIX22	FALSE	pos
Mp1g24950.1	Mp1g08660.1	WRKY11	NFX1-1	FALSE	opposite
Mp1g24950.1	Mp1g12750.1	WRKY11	ARF1	FALSE	pos
Mp2g03850.1	Mp1g03950.1	GRAS4	GATA2	FALSE	pos
Mp2g07170.1	Mp1g11660.1	BZIP4	HD6	TRUE	pos
Mp2g07170.1	Mp1g13260.1	BZIP4	BZR2	TRUE	pos
Mp2g10620.1	Mp1g09420.1	Mp2g10620.1	R2R3-MYB17	FALSE	pos
Mp2g11080.1	Mp1g03100.1	ERF4	TRIHELIX26	FALSE	pos
Mp2g11080.1	Mp1g09040.1	ERF4	Mp1g09040.1	FALSE	pos
Mp2g11080.1	Mp1g13260.1	ERF4	BZR2	FALSE	pos
Mp2g11220.1	Mp1g16790.1	1R-MYB9	TRIHELIX1	FALSE	opposite
Mp2g12760.1	Mp2g12750.1	ERF6	ERF5	FALSE	pos
Mp2g20790.1	Mp1g08890.1	DOF1	WRKY5	FALSE	opposite
Mp2g20790.1	Mp1g24950.1	DOF1	WRKY11	FALSE	pos
Mp2g20790.1	Mp2g13330.1	DOF1	BZIP8	FALSE	opposite
Mp2g22250.1	Mp1g24950.1	AP2B3-1	WRKY11	FALSE	pos
Mp2g23600.1	Mp1g10030.1	ABI5A/BZIP11	Mp1g10030.1	FALSE	pos
Mp2g23600.1	Mp2g07170.1	ABI5A/BZIP11	BZIP4	TRUE	pos
Mp2g24110.1	Mp1g10030.1	C2H2-10	Mp1g10030.1	FALSE	pos
Mp2g24110.1	Mp1g13260.1	C2H2-10	BZR2	FALSE	pos
Mp2g24110.1	Mp1g24520.1	C2H2-10	4R-MYB1	FALSE	pos
Mp2g24110.1	Mp2g07170.1	C2H2-10	BZIP4	FALSE	pos
Mp2g24110.1	Mp2g20790.1	C2H2-10	DOF1	FALSE	opposite
Mp2g25260.1	Mp1g03950.1	CCAAT-NFYC3	GATA2	FALSE	neg
Mp2g25260.1	Mp2g20790.1	CCAAT-NFYC3	DOF1	FALSE	neg
Mp2g25420.1	Mp1g19590.1	Mp2g25420.1	TCP2	FALSE	pos
Mp2g25840.1	Mp1g19590.1	Mp2g25840.1	TCP2	FALSE	pos
Mp2g25840.1	Mp2g02280.1	Mp2g25840.1	TRIHELIX30	FALSE	pos
Mp3g00010.1	Mp1g08660.1	WRKY1	NFX1-1	TRUE	opposite
Mp3g00010.1	Mp1g12750.1	WRKY1	ARF1	TRUE	pos
Mp3g00010.1	Mp1g24950.1	WRKY1	WRKY11	FALSE	pos
Mp3g00010.1	Mp2g20790.1	WRKY1	DOF1	FALSE	pos
Mp3g00010.1	Mp2g22250.1	WRKY1	AP2B3-1	TRUE	pos
Mp3g00360.1	Mp1g04480.1	1R-MYB2	HD1	FALSE	opposite
Mp3g01640.1	Mp1g01110.1	Mp3g01640.1	BHLH33	FALSE	opposite
Mp3g01640.1	Mp1g12750.1	Mp3g01640.1	ARF1	FALSE	opposite
Mp3g01640.1	Mp1g24950.1	Mp3g01640.1	WRKY11	FALSE	opposite
Mp3g01640.1	Mp2g20790.1	Mp3g01640.1	DOF1	FALSE	opposite
Mp3g01640.1	Mp3g00010.1	Mp3g01640.1	WRKY1	FALSE	opposite
Mp3g02830.1	Mp1g11660.1	R2R3-MYB4	HD6	FALSE	pos
Mp3g02830.1	Mp1g24950.1	R2R3-MYB4	WRKY11	FALSE	opposite
Mp3g02830.1	Mp2g07170.1	R2R3-MYB4	BZIP4	FALSE	pos
Mp3g02830.1	Mp2g13330.1	R2R3-MYB4	BZIP8	FALSE	pos
Mp3g02830.1	Mp2g20790.1	R2R3-MYB4	DOF1	FALSE	opposite
Mp3g02830.1	Mp2g23600.1	R2R3-MYB4	ABI5A/BZIP11	FALSE	pos
Mp3g02830.1	Mp2g26400.1	R2R3-MYB4	BHLH49	FALSE	pos
Mp3g02830.1	Mp3g00010.1	R2R3-MYB4	WRKY1	FALSE	opposite
Mp3g02830.1	Mp3g01640.1	R2R3-MYB4	Mp3g01640.1	FALSE	neg
Mp3g04030.1	Mp2g20790.1	Mp3g04030.1	DOF1	FALSE	opposite
Mp3g04030.1	Mp2g25260.1	Mp3g04030.1	CCAAT-NFYC3	FALSE	opposite
Mp3g05000.1	Mp3g04030.1	1R-MYB8	Mp3g04030.1	FALSE	opposite
Mp3g07610.1	Mp2g11520.1	Mp3g07610.1	CXC1	FALSE	opposite
Mp3g10830.1	Mp3g00360.1	TRIHELIX15	1R-MYB2	FALSE	opposite
Mp3g10970.1	Mp1g03950.1	TRIHELIX14	GATA2	FALSE	opposite
Mp3g10970.1	Mp3g07610.1	TRIHELIX14	Mp3g07610.1	FALSE	pos
Mp3g12980.1	Mp3g01640.1	ASLBD24	Mp3g01640.1	FALSE	neg
Mp3g19510.2	Mp1g04480.1	SRS (1) [.2]	HD1	FALSE	pos
Mp3g19510.2	Mp2g10620.1	SRS (1) [.2]	Mp2g10620.1	FALSE	pos
Mp3g19510.2	Mp2g24110.1	SRS (1) [.2]	C2H2-10	FALSE	opposite
Mp3g19510.2	Mp3g04970.1	SRS (1) [.2]	GARP1	FALSE	pos
Mp3g19670.1	Mp3g10830.1	BBX3	TRIHELIX15	FALSE	pos
Mp3g21490.1	Mp2g20790.1	C2H2-14	DOF1	FALSE	pos
Mp3g25200.1	Mp2g13330.1	BHLH41	BZIP8	FALSE	opposite
Mp4g01540.1	Mp1g09500.1	BHLH10	IDDL6	FALSE	pos
Mp4g02060.1	Mp1g24520.1	HD15	4R-MYB1	FALSE	pos
Mp4g02060.1	Mp2g11080.1	HD15	ERF4	FALSE	pos
Mp4g02060.1	Mp3g00360.1	HD15	1R-MYB2	FALSE	pos
