target_id	TF_id	cor	p	in_fimo	target_name	TF_name	cor_sign
Mp1g03950.1	Mp1g04480.1	0.876473378705229	4.37417613241564e-09	FALSE	GATA2	HD1	pos
Mp1g04480.1	Mp1g06180.1	0.805245437668675	6.99860122743701e-07	FALSE	HD1	TRIHELIX18	pos
Mp1g03100.1	Mp1g08640.1	0.80475440617711	7.19370869983749e-07	FALSE	TRIHELIX26	3R-MYB1	pos
Mp1g03040.1	Mp1g09420.1	0.862113866053312	1.5151822019277e-08	FALSE	TRIHELIX25	R2R3-MYB17	pos
Mp1g03950.1	Mp1g09500.1	0.879693511347288	3.24139692864378e-09	FALSE	GATA2	IDDL6	pos
Mp1g04480.1	Mp1g09500.1	0.86715492689141	9.95787718949259e-09	FALSE	HD1	IDDL6	pos
Mp1g03100.1	Mp1g10310.1	0.803714485957267	7.62313461688535e-07	TRUE	TRIHELIX26	CDC5	pos
Mp1g04480.1	Mp1g10310.1	0.826245836284814	1.99833189551413e-07	FALSE	HD1	CDC5	pos
Mp1g08640.1	Mp1g10310.1	0.927884492514092	9.00479690812972e-12	FALSE	3R-MYB1	CDC5	pos
Mp1g08640.1	Mp1g10440.1	0.862961783841998	1.41353111438036e-08	FALSE	3R-MYB1	GRAS3	pos
Mp1g10310.1	Mp1g10440.1	0.829253592854011	1.64750288744742e-07	FALSE	CDC5	GRAS3	pos
Mp1g03580.1	Mp1g11660.1	0.841926343135774	6.99826498973266e-08	FALSE	BZIP15	HD6	pos
Mp1g03950.1	Mp1g13260.1	0.875546260564936	4.76107731017805e-09	TRUE	GATA2	BZR2	pos
Mp1g04480.1	Mp1g13260.1	0.875374234139377	4.83618700641841e-09	FALSE	HD1	BZR2	pos
Mp1g09500.1	Mp1g13260.1	0.850902286097489	3.64351420145681e-08	TRUE	IDDL6	BZR2	pos
Mp1g10030.1	Mp1g13260.1	0.85316981429338	3.06897081081559e-08	TRUE	Mp1g10030.1	BZR2	pos
Mp1g01960.1	Mp1g14500.1	0.878499618226675	3.62591889846442e-09	FALSE	Mp1g01960.1	ASLBD15	pos
Mp1g05400.1	Mp1g14500.1	0.868193398580063	9.11371622613899e-09	FALSE	Mp1g05400.1	ASLBD15	pos
Mp1g11660.1	Mp1g15660.1	0.822762306448435	2.48777092926034e-07	FALSE	HD6	IDDL2	pos
