gene_symbol	full_name	synonym	product	description	GeneID/Location	reference	PMID	DOI	status
Mp1R-MYB1	Mp1R-MYB1		transcription factor, MYB		Mapoly0004s0169.1; Mp3g15030.1				Public
Mp1R-MYB11	Mp1R-MYB11		transcription factor, MYB		Mapoly0042s0058.1; Mp2g14310.1				Public
Mp1R-MYB12	Mp1R-MYB12		transcription factor, MYB		Mapoly0043s0095.1; Mp1g07040.1				Public
Mp1R-MYB13	Mp1R-MYB13		transcription factor, MYB		Mapoly0045s0043.1; Mp6g20210.1				Public
Mp1R-MYB14	Mp1R-MYB14		transcription factor, MYB		Mapoly0075s0051.1; Mp2g02900.1				Public
Mp1R-MYB15	Mp1R-MYB15		transcription factor, MYB		Mapoly0079s0052.1; Mp8g15610.1				Public
Mp1R-MYB16	Mp1R-MYB16		transcription factor, MYB		Mapoly0084s0085.1; Mp5g18370.1				Public
Mp1R-MYB17	Mp1R-MYB17		transcription factor, MYB		Mapoly0090s0091.1; Mp4g21300.1				Public
Mp1R-MYB18	Mp1R-MYB18		transcription factor, MYB		Mapoly0091s0012.1; Mp6g21430.1				Public
Mp1R-MYB19	Mp1R-MYB19		transcription factor, MYB		Mapoly0092s0004.1; Mp5g13040.1				Public
Mp1R-MYB2	Mp1R-MYB2		transcription factor, MYB		Mapoly0007s0033.1; Mp3g00360.1				Public
Mp1R-MYB20	Mp1R-MYB20		transcription factor, MYB		Mapoly0162s0017.1; Mp4g00040.1				Public
Mp1R-MYB21	Mp1R-MYB21		transcription factor, MYB	X-linked	Mapoly0250s0002.1				Public
Mp1R-MYB22	Mp1R-MYB22		transcription factor, MYB		Mapoly0811s0001.1; Mp1g25720.1				Public
Mp1R-MYB3	Mp1R-MYB3		transcription factor, MYB		Mapoly0008s0016.1; Mp8g12000.1				Public
Mp1R-MYB4	Mp1R-MYB4		transcription factor, MYB		Mapoly0009s0010.1; Mp7g13240.1				Public
Mp1R-MYB5	Mp1R-MYB5		transcription factor, MYB		Mapoly0013s0145.1; Mp8g06450.1				Public
Mp1R-MYB6	Mp1R-MYB6		transcription factor, MYB		Mapoly0014s0193.1; Mp1g10330.1				Public
Mp1R-MYB7	Mp1R-MYB7		transcription factor, MYB		Mapoly0020s0013.1; Mp4g22430.1				Public
Mp1R-MYB8	Mp1R-MYB8		transcription factor, MYB		Mapoly0022s0028.1; Mp3g05000.1				Public
Mp1R-MYB9	Mp1R-MYB9		transcription factor, MYB		Mapoly0023s0090.1; Mp2g11220.1				Public
Mp3R-MYB1	Mp3R-MYB1		transcription factor, MYB		Mapoly0036s0107.1; Mp1g08640.1				Public
Mp3R-MYB2	Mp3R-MYB2		transcription factor, MYB		Mapoly0058s0005.1; Mp5g20280.1				Public
Mp3R-MYB3	Mp3R-MYB3		transcription factor, MYB		Mapoly0132s0029.1; Mp4g09860.1				Public
Mp3R-MYB4	Mp3R-MYB4		transcription factor, MYB		Mapoly0132s0031.1; Mp4g09880.1				Public
Mp3R-MYB5	Mp3R-MYB5		transcription factor, MYB		Mapoly0150s0001.1; Mp4g04750.1				Public
Mp3R-MYB6	Mp3R-MYB6		transcription factor, MYB		Mapoly0166s0022.1; Mp5g22280.1				Public
Mp3R-MYB7	Mp3R-MYB7		transcription factor, MYB	X-linked	Mapoly0210s0005.1				Public
Mp3R-MYB8	Mp3R-MYB8		transcription factor, MYB	X-linked	Mapoly0240s0002.1				Public
Mp3R-MYB9	Mp3R-MYB9		transcription factor, MYB		Mapoly0330s0001.1; Mp4g04760.1				Public
Mp4R-MYB1	Mp4R-MYB1		transcription factor, MYB		Mapoly0061s0069.1; Mp1g24520.1				Public
MpAAP1	AMINO ACID PERMEASE 1		amino acid transporter	Proton-coupled amino acid symporter	Mapoly0047s0067.1; Mp6g14130.1				Public
MpAAP2	AMINO ACID PERMEASE 2		amino acid transporter	Proton-coupled amino acid symporter	Mapoly0130s0012.1; Mp2g02040.1				Public
MpAAP3	AMINO ACID PERMEASE 3		amino acid transporter	Proton-coupled amino acid symporter	Mapoly0170s0014.1; Mp6g16630.1				Public
MpAAP4	AMINO ACID PERMEASE 4		amino acid transporter	proton-coupled amino acid symporter	Mapoly0134s0048.1; Mpzg00300.1				Public
